source_id,source_citation,source_doi_or_url,source_license,redistribution_clearance,academic_use_ok,n_rows_released
bioresources_leng2025_paper,"Leng, Sanjon, Groche, Hauptmann & Majschak, 'Effect of density on in-plane material behavior: the case of laboratory paper and commercial paperboard', BioResources 20(2), 3749-3772 (2025), doi:10.15376/biores.20.2.3749-3772",https://doi.org/10.15376/biores.20.2.3749-3772,CC BY 4.0 (BioResources is fully open access),PERMISSIVE,YES,46.0
fatigue_am2022,"Fatigue database of additively manufactured alloys, Sci Data 10:249 (doi:10.1038/s41597-023-02150-x)",https://doi.org/10.6084/m9.figshare.22337629,CC BY 4.0,PERMISSIVE,YES,42.0
wikidata_cross_checks,Wikidata targeted cross-checks,https://www.wikidata.org/,CC0 1.0,PERMISSIVE,YES,34.0
sperl_yarn_level_fabrics,"Sperl et al., ACM TOG 41(4), SIGGRAPH 2022",https://mslab.es/projects/YarnLevelFabrics,MIT,PERMISSIVE,YES,32.0
p3_petrophysical,"Bar, Reinsch & Bott 2019, P3 PetroPhysical Property Database, GFZ",https://doi.org/10.5880/GFZ.4.8.2019.P3,CC BY 4.0,PERMISSIVE,YES,28.0
leather_pmc9331295,"Leather mechanical characterisation, MDPI open access",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9331295/,CC BY (MDPI open access),PERMISSIVE,YES,27.0
contact_params_reference,NASA RP-1228 friction tables; Wikipedia Poisson table; literature restitution,https://ntrs.nasa.gov/citations/19900009424,"CC BY-SA 4.0 (poissons_ratio from Wikipedia) / US Government work (NASA RP-1228 friction, public domain) -- filed under the stricter component",COPYLEFT,YES_SHARE_ALIKE,23.0
srmd,"Soft Robotics Materials Database, ASTM D412 uniaxial tension",https://doi.org/10.1089/soro.2019.0115,open research dataset,PERMISSIVE,YES,11.0
material_bank_15class,15-class material bank consensus envelope,(this project),internal; inherits the licences of its cited sources,INTERNAL,YES,12.0
ashby_granta_2021,"M. Ashby, Material property data for engineering materials, 5th ed.",Ansys/Granta EduPack education resource,teaching / non-commercial use only,NONCOMMERCIAL_OK,YES_NONCOMMERCIAL_ONLY,12.0
pmc_pmc10780276,"Peidayesh, Mosnackova, Kruzelak et al., 'Effects of Peroxide and Sulfur Curing Systems on Physical and Mechanical Properties of Nitrile Rubber Composites', Materials 17(1):71 (2023), doi:10.3390/ma17010071",https://doi.org/10.3390/ma17010071,CC BY 4.0 (all four articles verified CC BY in their JATS),PERMISSIVE,YES,10.0
zemla2024_rigid_pur,"Zemla, Kuranska, Vevere, Kirpluks, Malewska, Apostolou & Prociak, 'Effect of chemical structure and apparent density of rigid polyurethane foams on the properties of their chemical recycling products', Materials 17(24):6190 (2024), doi:10.3390/ma17246190",https://doi.org/10.3390/ma17246190,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,10.0
arcsim_wang2011,"Wang, Ramamoorthi & O'Brien 2011, ARCSim cloth set",http://graphics.berkeley.edu/resources/ARCSim/,ARCSim release,PERMISSIVE,YES,9.0
zenodo_elastomer_framework,Zenodo elastomer characterisation framework,https://zenodo.org/,CC BY 4.0,PERMISSIVE,YES,9.0
pmc_pmc7914699,"Kulpa & Wiater, 'Comparison of Material Properties of Multilayered Laminates Determined by Testing and Micromechanics', Materials 14(4):761 (2021), doi:10.3390/ma14040761",https://doi.org/10.3390/ma14040761,CC BY 4.0 (all seven articles verified CC BY in their JATS),PERMISSIVE,YES,9.0
stresseng_figshare_family_agg,"StressEng, per-visual-class aggregation",https://doi.org/10.6084/m9.figshare.25881025,CC BY 4.0,PERMISSIVE,YES,6.0
sawbones_astm_f1839,"Sawbones rigid polyurethane foam, ASTM F1839",https://www.sawbones.com/,manufacturer TDS,CITE_ONLY,CITE_IN_TEXT_NOT_BULK,7.0
friction_tribology_literature,Primary tribology papers,(per-row citation in notes),CC BY (MDPI) / Wood Research open access,PERMISSIVE,YES,6.0
daki2025_thermoset,"Daki et al., 'Exploring the Thermal and Mechanical Properties of Thermoset-Based Composites Reinforced with New Continuous and Chopped Phosphate Glass Fibers', Polymers 17(12):1627 (2025), doi:10.3390/polym17121627",https://doi.org/10.3390/polym17121627,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,6.0
pmc_pmc11643003,"Feng, Zhang, Wang et al., 'Mechanical Properties and Damage Constitutive Model of Saturated Sandstone Under Freeze-Thaw Action', Materials 17(23):5905 (2024), doi:10.3390/ma17235905",https://doi.org/10.3390/ma17235905,CC BY 4.0 (all four articles verified CC BY in their JATS),PERMISSIVE,YES,6.0
pmc_pmc11189480,"Cao, Wang, Zhang et al., 'Mechanical properties and acoustic emission characteristics of mixed granite after different numbers of freeze-thaw cycles', Scientific Reports 14 (2024), doi:10.1038/s41598-024-65008-1",https://doi.org/10.1038/s41598-024-65008-1,CC BY 4.0 (all contributing articles verified CC BY in their JATS),PERMISSIVE,YES,5.0
alomari2025_rock,"Alomari, Ng & Khatri, 'Experimental Investigation and Prediction of Mechanical Properties of Carbonate Rocks Under Uniaxial and Triaxial Compressions', Materials 18(6):1211 (2025), doi:10.3390/ma18061211",https://doi.org/10.3390/ma18061211,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,5.0
rumianek2021_epp,"Rumianek, Dobosz, Nowak, Dziewit & Arominski, 'Static Mechanical Properties of Expanded Polypropylene Crushable Foam', Materials 14(2):249 (2021), doi:10.3390/ma14020249",https://doi.org/10.3390/ma14020249,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,5.0
transformer_papers_dib2021,"Transformer insulation paper dataset, Data in Brief 2021",https://doi.org/10.1016/j.dib.2021,CC BY,PERMISSIVE,YES,4.0
pmc_pmc10628249,"Wang, Huang, Liu, Meng et al., 'Dynamic mechanical properties of different types of rocks under impact loading', Scientific Reports 13 (2023), doi:10.1038/s41598-023-46444-x",https://doi.org/10.1038/s41598-023-46444-x,CC BY 4.0 (all contributing articles verified CC BY in their JATS),PERMISSIVE,YES,4.0
pmc_pmc11174474,"Akter & Ozdemir, 'Epoxy/Graphene Nanoplatelet (GNP) Nanocomposites: An Experimental Study on Tensile, Compressive and Flexural Properties', Polymers 16(11):1483 (2024), doi:10.3390/polym16111483",https://doi.org/10.3390/polym16111483,CC BY 4.0 (all seven articles verified CC BY in their JATS),PERMISSIVE,YES,4.0
sajn2023_nonwoven,"Sajn Gorjanc, 'Functional Properties of Nonwovens as an Insulating Layer for Protective Gloves', Polymers 15(3):785 (2023), doi:10.3390/polym15030785",https://doi.org/10.3390/polym15030785,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,4.0
pinkos2025_upholstery,"Pinkos, Puszkarz, Rutkowski & Borowinska, 'The influence of the upholstery textiles structure on their functional properties', Materials 18(22):5143 (2025), doi:10.3390/ma18225143",https://doi.org/10.3390/ma18225143,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,4.0
mycelium_leather_crosslinking,Mycelium leather crosslinking study,https://www.ncbi.nlm.nih.gov/pmc/,CC BY,PERMISSIVE,YES,4.0
vaitkus2022_eps,"Vaitkus, Vejelis, Seputyte-Jucike, Czlonka, Strzelec & Kairyte, 'Analysis of Active and Passive Deformation of Expanded Polystyrene Foam under Short-Term Compression', Materials 15(21):7548 (2022), doi:10.3390/ma15217548",https://doi.org/10.3390/ma15217548,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,4.0
pmc_pmc8949604,"Szymiczek & Bula, 'Polyester and Epoxy Resins with Increased Thermal Conductivity and Reduced Surface Resistivity', Materials 15(6):2171 (2022), doi:10.3390/ma15062171",https://doi.org/10.3390/ma15062171,CC BY 4.0 (all seven articles verified CC BY in their JATS),PERMISSIVE,YES,3.0
pmc_pmc12525924,"Uthemann, Gries & Shi, 'Comparative Study on the Mechanical Behavior of Flax and Glass Fiber Multiaxial Fabric-Reinforced Composites', Materials 18(19):4469 (2025), doi:10.3390/ma18194469",https://doi.org/10.3390/ma18194469,CC BY 4.0 (all four articles verified CC BY in their JATS),PERMISSIVE,YES,3.0
rogers_poron,Rogers PORON microcellular urethane TDS,https://www.rogerscorp.com/,manufacturer TDS,CITE_ONLY,CITE_IN_TEXT_NOT_BULK,3.0
nist_mdf_foam_vn01,NIST Materials Data Facility foam record VN01,https://materialsdata.nist.gov/,CC BY 4.0,PERMISSIVE,YES,3.0
pmc_pmc9332288,"Shan, Zhao, Liu et al., 'A Novel Micromechanics-Model-Based Probabilistic Analysis Method for the Elastic Properties of Unidirectional CFRP Composites', Materials 15(15):5090 (2022), doi:10.3390/ma15155090",https://doi.org/10.3390/ma15155090,CC BY 4.0 (all contributing articles verified CC BY in their JATS),PERMISSIVE,YES,3.0
santmarti2020_bc_nanopaper,"Santmarti, Liu, Herrera & Lee, 'Anomalous tensile response of bacterial cellulose nanopaper at intermediate strain rates', Scientific Reports 10:15260 (2020), doi:10.1038/s41598-020-72153-w",https://doi.org/10.1038/s41598-020-72153-w,CC BY 4.0,PERMISSIVE,YES,2.0
nist_mdf_foam_dic,"Landauer, Kafka, Moser et al., 'A materials data framework and dataset for elastomeric foam impact mitigating materials', Sci Data 10:356 (2023), doi:10.1038/s41597-023-02092-4; dataset doi:10.18126/6h74-leb4",https://doi.org/10.18126/6h74-leb4,US Government work (NIST) -- not subject to US copyright,PUBLIC_DOMAIN,YES,2.0
pmc_pmc3913365,"Concu, De Nicolo & Valdes, 'Prediction of Building Limestone Physical and Mechanical Properties by Means of Ultrasonic P-Wave Velocity', The Scientific World Journal 2014:508073, doi:10.1155/2014/508073",https://doi.org/10.1155/2014/508073,CC BY 4.0 (all contributing articles verified CC BY in their JATS),PERMISSIVE,YES,2.0
sobotkova2021_paper_board,"Sobotkova, Cepek, Zamec & Simek, 'Mechanical and physical properties of boards made from recycled paper', BioResources 16(2), 3952-3963 (2021)",https://bioresources.cnr.ncsu.edu/resources/mechanical-and-physical-properties-of-boards-made-from-recycled-paper/,CC BY 4.0 (BioResources is fully open access),PERMISSIVE,YES,2.0
pesic2025_pinatex,"Pesic, Nemesa, Djurdjic & Salihi, 'Thermophysiological Comfort Assessment of a Skirt Made from Bio-Based Material Derived from Pineapple Leaves', Materials 18(14):3249 (2025), doi:10.3390/ma18143249",https://doi.org/10.3390/ma18143249,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,2.0
nist_ceramics_pds,"NIST Ceramics Data Portal, PDS compilation",https://srdata.nist.gov/CeramicDataPortal,US Government work,PUBLIC_DOMAIN,YES,1.0
darus_pu_foam,DaRUS polyurethane foam compression dataset,https://darus.uni-stuttgart.de/,CC BY 4.0,PERMISSIVE,YES,1.0
qiu2019_rpuf,"Qiu, He & Yu, 'Investigation on Compression Mechanical Properties of Rigid Polyurethane Foam Treated under Random Vibration Condition', Materials 12(20):3385 (2019), doi:10.3390/ma12203385",https://doi.org/10.3390/ma12203385,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,1.0
leather_density_nist_jres1943,"NBS Journal of Research 1943, leather density",https://nvlpubs.nist.gov/nistpubs/jres/,US Government work,PUBLIC_DOMAIN,YES,1.0
pmc_pmc9331295,"Mihai, Harnagea, Seul et al., 'Mechanical Parameters of Leather in Relation to Technological Processing of the Footwear Uppers', Materials 15(15):5107 (2022), doi:10.3390/ma15155107",https://doi.org/10.3390/ma15155107,CC BY 4.0 (all four articles verified CC BY in their JATS),PERMISSIVE,YES,1.0
park2025_resilient_mount,"Park, 'Comparative Study on Hyperelastic Constitutive Models for the Static and Dynamic Behavior of Resilient Mounts', Materials 18(2):311 (2025), doi:10.3390/ma18020311",https://doi.org/10.3390/ma18020311,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,1.0
pmc_pmc11767158,"Lu, Zheng et al., 'T700 Carbon Fiber/Epoxy Resin Composite Material Hygrothermal Aging Model', Materials 18(2):369 (2025), doi:10.3390/ma18020369",https://doi.org/10.3390/ma18020369,CC BY 4.0 (all seven articles verified CC BY in their JATS),PERMISSIVE,YES,1.0
pmc_pmc12349578,"Liu, Feng et al., 'Strain-Rate-Dependent Tensile Behaviour and Viscoelastic Modelling of Kevlar 29 Plain-Woven Fabric', Polymers 17(15):2097 (2025), doi:10.3390/polym17152097",https://doi.org/10.3390/polym17152097,CC BY 4.0 (all seven articles verified CC BY in their JATS),PERMISSIVE,YES,1.0
pmc_pmc13030571,"Yang, Chen et al., 'Investigating the Triaxial Mechanical Behaviour of Silicone Rubber Material', Polymers 18(6):755 (2026), doi:10.3390/polym18060755",https://doi.org/10.3390/polym18060755,CC BY 4.0 (all seven articles verified CC BY in their JATS),PERMISSIVE,YES,1.0
pmc_pmc10300728,"Toyen, Wimolmala et al., 'Multi-Layered Composites of Natural Rubber (NR) and Bismuth Oxide (Bi2O3) with Enhanced X-ray Shielding', Polymers 15(12):2717 (2023), doi:10.3390/polym15122717",https://doi.org/10.3390/polym15122717,CC BY 4.0 (all seven articles verified CC BY in their JATS),PERMISSIVE,YES,1.0
corrbox_pmc10054506,"Compressive Strength of Corrugated Paperboard Packages with Low and High Cutout Rates: Numerical Modelling and Experimental Validation, Materials (MDPI), PMC10054506",https://pmc.ncbi.nlm.nih.gov/articles/PMC10054506/,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,2.0
corrwave_pmc10126572,"Evaluation of wave configurations in corrugated boards by experimental analysis (EA) and finite element modeling (FEM): the role of the micro-wave in packaging design, International Journal of Advanced Manufacturing Technology 126(11-12), 4963-4982 (2023)",https://doi.org/10.1007/s00170-023-11397-y,CC BY 4.0 (Springer Nature open access),PERMISSIVE,YES,12.0
fpufeps_pmc10649283,"Mechanical Properties and Cushioning Effectiveness of FPUF-EPS Combination Materials, Materials 16(21), 6886 (2023)",https://doi.org/10.3390/ma16216886,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,1.0
leather_alternatives_materials2026,"Oleksinska-Merida, Puchalski & Herczynska (2026). 'Bio-Based and Sustainable Alternatives to Conventional and Synthetic Leather', Materials 19(6), 1198",https://doi.org/10.3390/ma19061198,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,13.0
pelinski2019_testliner,"Pelinski, K. & Smardzewski, J. (2019). 'Experimental testing of elastic properties of paper and WoodEpox in honeycomb panels', BioResources 14(2), 2977-2994",https://bioresources.cnr.ncsu.edu/resources/experimental-testing-of-elastic-properties-of-paper-and-woodepox-in-honeycomb-panels/,CC BY 4.0 (BioResources is fully open access),PERMISSIVE,YES,2.0
rosenbohm_pdms_pah,"Rosenbohm, J. et al. (2024). 'Facile Determination of the Poisson's Ratio and Young's Modulus of Polyacrylamide Gels and Polydimethylsiloxane', Micromachines 15(2), 181",https://doi.org/10.3390/mi15020181,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,6.0
seul2023_footwear,"Seul, A., Mihai, A., Costea, M., Bodoga, A., Curteza, A. (2023). 'The Influence of Materials on Footwear Behaviour: A Finite Element Simulation Study', Materials 16(22), 7203",https://doi.org/10.3390/ma16227203,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,3.0
smith1976_particulate_epoxy,"Smith, J. C. (1976). 'Experimental Values for the Elastic Constants of a Particulate-Filled Glassy Polymer', Journal of Research of the National Bureau of Standards 80A(1), 45-49",https://doi.org/10.6028/jres.080A.008,US Government work (NBS J. Res. 80A),PUBLIC_DOMAIN,YES,31.0
yoshihara2011_mdf,"Yoshihara, H. (2011). 'Measurement of the Young's modulus and shear modulus of in-plane quasi-isotropic medium-density fiberboard by flexural vibration', BioResources 6(4), 4871-4885",https://bioresources.cnr.ncsu.edu/resources/measurement-of-the-youngs-modulus-and-shear-modulus-of-in-plane-quasi-isotropic-medium-density-fiberboard-by-flexural-vibration/,CC BY 4.0 (BioResources is fully open access),PERMISSIVE,YES,1.0
charuk2024_plywood,"Charuk, A., Gawdzinska, K., Dunaj, P. (2024). 'Finite Element Modeling of the Dynamic Response of Plywood', Materials 17(17), 4358",https://doi.org/10.3390/ma17174358,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,1.0
roszak2023_aramid,"Roszak, L. et al. (2023). 'Multi-Layer Fabric Composites Combined with Non-Newtonian Shear Thickening in Ballistic Protection: Hybrid Numerical Methods and Ballistic Tests', Polymers 15(17), 3584",https://doi.org/10.3390/polym15173584,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,2.0
zhang2024_osb,"Zhang, K., Zhang, J., Guo, Y., Chen, Y. (2024). 'Study on Joint Model Simplification for Finite Element Analysis of Bamboo/Wood-Oriented Strand Board Furniture', Materials 17(17), 4395",https://doi.org/10.3390/ma17174395,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,2.0
kmita2023_honeycomb_paper,"Kmita-Fudalej, G., Szewczyk, W., Kolakowski, Z. (2023). 'Bending Stiffness of Honeycomb Paperboard', Materials 16(1), 156",https://doi.org/10.3390/ma16010156,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,6.0
rahman2022_divinycell,"Rahman, M. et al. (2022). 'Low-Velocity Impact Behavior of Foam Core Sandwich Panels with Inter-Ply and Intra-Ply Carbon/Kevlar/Epoxy Hybrid Face Sheets', Polymers 14(5), 1060",https://doi.org/10.3390/polym14051060,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,1.0
takayama2024_poisson,"Takayama, T. & Nagasawa, Y. (2024). 'Poisson's Ratio Prediction of Injection Molded Thermoplastics Using Differential Scanning Calorimetry', Polymers 16(14):1956",https://doi.org/10.3390/polym16141956,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,9.0
usda_fpl_gtr190_ch12,"USDA Forest Products Laboratory, Wood Handbook FPL-GTR-190, Chapter 12: Mechanical Properties of Wood-Based Composite Materials (Tables 12-1 to 12-6)",https://www.fpl.fs.usda.gov/documnts/fplgtr/fplgtr190/chapter_12.pdf,US Government work (public domain),PERMISSIVE,YES,40.0
kozlowski2024_grayiron,"Kozlowski, J. et al. (2024). 'Design and Control of the Natural Frequency of Brake Discs in the Aspect of the Gray Cast Iron Production Process', Materials 17(14):3490, Table 4",https://doi.org/10.3390/ma17143490,CC BY 4.0 (MDPI open access),PERMISSIVE,YES,3.0
eazall_zamak_tds,"Eastern Alloys Inc., Zamak 3 (AC40A) zinc die casting alloy technical data sheet; ASTM B86 / B240",https://www.eazall.com/zamak-3,manufacturer TDS (published specification data),SPEC_DATA_CITED,YES,1.0
